pickup_hour,zone_id,trips,hour_of_week,mean,std,z
2024-01-01 04:00:00,164,124,4,7.375,2.4462982238476156,47.67407295769871
2024-01-01 02:00:00,161,177,2,6.125,3.6206870894900596,47.19408106157723
2024-01-01 02:00:00,143,53,2,2.3333333333333335,1.1055415967851332,45.82972437582007
2024-01-01 01:00:00,137,128,1,5.25,2.680951323690902,45.78598608459941
2024-01-01 01:00:00,233,89,1,3.125,1.899835519196333,45.20128144373613
2024-01-01 02:00:00,162,141,2,5.375,3.07967124868873,44.03879149689979
2024-01-01 03:00:00,141,83,3,6.875,1.7633419974582356,43.17086538500765
2024-01-01 01:00:00,238,192,1,5.5,4.330127018922194,43.070330081546075
2024-01-01 01:00:00,140,98,1,5.25,2.165063509461097,42.839389973870226
2024-01-01 01:00:00,68,184,1,15.0,4.0,42.25
2024-01-01 01:00:00,151,63,1,2.1666666666666665,1.4624940645653537,41.59561040776785
2024-01-01 02:00:00,90,139,2,9.5,3.24037034920393,39.964567640181805
2024-01-01 04:00:00,234,83,4,3.2857142857142856,2.0503857277724746,38.87770219747227
2024-01-01 05:00:00,148,55,5,2.8333333333333335,1.3437096247164249,38.822871926422245
2024-01-01 02:00:00,48,234,2,24.875,5.441449714919729,38.43185381767053
2024-01-01 02:00:00,163,133,2,7.375,3.314268395890713,37.90429289183689
2024-01-01 01:00:00,232,47,1,1.6,1.2,37.833333333333336
2024-01-01 01:00:00,234,184,1,11.375,4.580870550452174,37.68388521325064
2024-01-01 02:00:00,68,183,2,12.375,4.553501400021746,37.471164497541416
2024-01-01 00:00:00,141,171,0,16.375,4.181432170919432,36.978956893135575
2024-01-01 00:00:00,142,262,0,21.625,6.613197033205649,36.34777533363191
2024-01-01 04:00:00,113,47,4,2.142857142857143,1.2453996981544782,36.01827021767819
2024-01-01 02:00:00,113,76,2,3.75,2.0463381929681126,35.30696941897221
2024-01-01 03:00:00,158,68,3,3.7142857142857144,1.8294640678379568,35.13909642493637
2024-01-01 00:00:00,237,284,0,21.75,7.578753195612059,34.60331709334951
2024-01-01 03:00:00,163,96,3,5.75,2.6339134382131846,34.264603646665215
2024-01-01 01:00:00,50,108,1,4.0,3.116774889895918,33.36782529182689
2024-01-01 01:00:00,246,162,1,20.375,4.328322423295196,32.72052914491047
2024-01-01 01:00:00,164,202,1,12.375,5.851014869234225,32.40890755500984
2024-01-01 03:00:00,68,158,3,10.625,4.580870550452174,32.17183248835808
2024-01-01 04:00:00,249,110,4,8.375,3.2379584617471546,31.385516893000737
2024-01-01 02:00:00,114,105,2,10.375,3.0388114452858046,31.13881914154117
2024-01-01 02:00:00,140,63,2,3.4285714285714284,1.9166296949998196,31.081344887247077
2024-01-01 01:00:00,162,138,1,10.125,4.136348026943574,30.914951828772796
2024-01-01 03:00:00,246,174,3,16.5,5.196152422706632,30.31088913245535
